,pageNo,word,spelling,pronunciation,meaning,pos,IPA [B],language,class,sentence,source
142,, অকথিত,১,, অনুক্ত বা অনুচ্চারিত ,বিণ,,স. [সংস্কৃত],,,
143,,,২,,বলার অযোগ্য ,,,,,,
144,, অকথ্য ,১,,অশ্লীল বা অনুচিত কথা ,বিণ,,স. [সংস্কৃত],,,
145,,,১,,বলার অযোগ্য ,,,,,,
146,,,২,,কথায় প্রকাশ করা যায় না এমন ,,,,,,
147,, অকথন ,১,,বলার মত নয় এমন কথা ,বি,,স. [সংস্কৃত],,,
148,,,১,,গালি ,,,,,,
149,,,২,,অবর্ণনীয় ,,,,,,
150,,,২,,অনির্বচনীয় ,,,,,,
151,, অকনিষ্ঠ,১,, কনিষ্ঠ নেই এমন ,বিণ,,স. [সংস্কৃত],,,
152,,  অকনিষ্ঠ ,১,,পাপসক্ত,বিবিণ,,স. [সংস্কৃত],,,
153,,,,,পাপী ,,,,,,
154,, অকপট ,১,,সরল,বিণ,,,,,
155,,,১,,কপটতাহীন,,,,,,
156,, অকপটে ,১,,সরলভাবে,ক্রিবিন,,,,,
157,,,১,,গোপন না রেখে ,,,,,,
158,,অকপটচিত্ত,১,, সরলমনা,বিণ,,,,,
159,,,১,, অমায়িক স্বভাবসম্পন্ন ,,,,,,
160,,অকবজ ,১,,অনায়ত্ত,বিণ,,আ. [আরবি],,,
161,,,১,,অনধিকৃত ,,,,,,
162,, অকবি ,১,,কবি প্রতিভাহীন বা কবি নামের অযোগ্য ,বিবিণ,,স. [সংস্কৃত],,,
163,, অকমনীয় ,১,, অবাঞ্ছনীয়,বিণ,,স. [সংস্কৃত],,,
164,,,১,,কাম্য নয় এমন ,,,,,,
165,,,২,, অসুন্দর,,,,,,
166,,,২,,কুৎসিত ,,,,,,
167,,"অকম্প, অকম্পন, অকম্পিত, অকম্প্র",১,,স্থির,বিণ,,স. [সংস্কৃত],,,
168,,,১,,কম্পনশূন্য,,,,,,
169,,,১,,অবিচলিত,,,,,,
170,, অকম্পনীয় ,১,,কম্পনের অযোগ্য,বিণ,,স. [সংস্কৃত],,,
171,,,১,,কম্পনের মতো নয় এমন ,,,,,,
172,, অকর ,১,,নিষ্কর ,বিণ,,স. [সংস্কৃত],,,
173,,,১,,শুষ্কের অযোগ্য ,,,,,,
174,,,২,,হস্তহীন ,,,,,,
175,,,৩,,কিরণহীন ,,,,,,
176,,অকরণ ,১,,কর্মশূন্যতা,বি,,স. [সংস্কৃত],,,
177,,,১,,নিষ্ক্রিয়তা,,,,,,
178,,,২,,অবৈধ বা অন্যায় কাজ ,,,,,,
179,,অকরণী ,১,,যে রাশিকে ভাগ করলে ভাগশেষ থাকে না ,বি,,স. [সংস্কৃত],,,
180,,অকরণীয় ,১,,অকর্তব্য,বিণ,,স. [সংস্কৃত],,,
181,,,১,,করা উচিৎ নয় এমন ,,,,,,
182,,,২,,সম্পর্ক স্থাপনের অযোগ্য ,,,,,,
183,,অকরোটি ,১ ,,যে সকল প্রাণীর খুলির আংশিক বা সম্পূর্ণ নেই ,বি,,স. [সংস্কৃত],প্রাণি [প্রাণিবিজ্ঞান],,
184,,অকর্কশ ,১,,কোমন ,বিণ,,স. [সংস্কৃত],,,
185,,,১,,নরম ,,,,,,
186,,,২,,মসৃণ,,,,,,
187,,,২,,তেলতেলে,,,,,,
188,৩,অকর্ণ ,১,,কান নেই এমন ,বিবিণ,,স. [সংস্কৃত],,,
189,,,২ ,,বধির ,,,,,,
190,,,৩,,হালশূন্য ,,,,,,
191,,,৪,,সর্প ,বি,,স. [সংস্কৃত],প্রাণি [প্রাণিবিজ্ঞান],,
192,, অকর্তব্য ,১,,যা করা উচিৎ নয় এমন ,বিণ,,স. [সংস্কৃত],,,
193,,,,,অনুচিত ,,,,,,
194,,অকর্তা ,১ ,,কর্তা নয় যে,বিবিণ,,স. [সংস্কৃত],,,
195,,,২,,অপ্রধান ,,,,,,
196,,অকর্ম ,১ ,, কর্মের অভাব,বি,,স. [সংস্কৃত],,,
197,,,১ ,,নিষ্ক্র্রিয়তা ,,,,,,
198,,,২,,অপকর্ম ,,,,,,
199,,,২,,খারাপ কাজ ,,,,,,
200,,অকর্মক ,১ ,,যে ক্রিয়াপদের কর্ম নেই ,বিণ,,স. [সংস্কৃত],,,
201,,,২,,বেকার,,,,,,
202,,,২,,কর্মশূন্য,,,,,,
203,,অকর্মকাণ্ড ,১ ,,অপকর্মের ঘটা ,বি,,স. [সংস্কৃত],,,
204,,অকর্মণ্য ,১ ,,কর্মক্ষম নয় এমন ,বিণ,,স. [সংস্কৃত],,,
205,,,১ ,,অপটু,,,,,,
206,,,২,,অকেজো ,,,,,,
207,,,২,,ব্যবহারের অযোগ্য ,,,,,,
208,,অকর্মা ,১ ,,কোনো কাজের নয় এমন ,বিণ,,স. [সংস্কৃত],,,
209,,,২,,অলস ,,,,,,
210,,,৩,,কুকর্মকারী,,,,,,
211,,,৩,,অন্যায়কারী,,,,,,
212,,অকর্মিষ্ঠ ,১ ,,কুকর্মে রত ,বি,,,,,
213,,,২,,অকর্মণ্য,,,,,,
214,,অকল ,,,,,,,,,
215,,অলঙ্ক ,১,অকলোঙ্‌কো,কলঙ্কহীন ,বিণ,,স. [সংস্কৃত],,,
216,,,১,,অপবাদহীন ,,,,,,
217,,,১,,নির্দোষ ,,,,,,
218,,,২,, দাগশূন্য ,,,,,,
219,,,৩ ,,নির্মল,,,,,,
220,,,৩ ,,পবিত্র ,,,,,,
221,,,৩ ,,সুন্দর ,,,,,অকলঙ্ক হাস্যমুখে...ঘুমাইতে কার অঙ্কটিতে।,
222,,অকলঙ্কিত,১,অকলোঙ্‌কিতো,কলঙ্কী নয় এমন,বিণ,,স. [সংস্কৃত],,,
223,,,১,,সাধু,,,,,,
224,,,১,,নির্দোষ ,,,,,,
225,,অকলঙ্কী,১,অকলোঙ্কি,কলঙ্কী নয় এমন,বিণ,,স. [সংস্কৃত],,,
226,,,১,,সাধু,,,,,,
227,,,১,,নির্দোষ ,,,,,,
228,,অকলঙ্কিতা,১,,কলঙ্কী নয় এমন,,,,,,
229,,,১,,সাধু,,,,,,
230,,,১,,নির্দোষ ,,,,,,
231,,অকলঙ্কিনী,১,,,,,,,,
232,,অকলুষ,১,অকোলুশ,পাপ বা দোষের অভাব,বিণ,,স. [সংস্কৃত],,,
233,,,২,,নিষ্পাপ,,,,,,
234,,,২,,নির্দোষ,,,,,,
235,,অকলুষিত,,,,বিণ,,স. [সংস্কৃত],,,
236,,অকল্ক,১,অকল্‌কো,মলহীন,বিণ,,স. [সংস্কৃত],,,
237,,,১,,নির্মল,,,,,,
238,,,২,,নিষ্পাপ,,,,,,
239,,,৩,,নিরহঙ্কার,,,,,,
240,,অকল্কা,১,,জ্যোৎস্না,বি,,স. [সংস্কৃত],,এই নীল অকল্কায়।,
241,,অকল্পনা,১,অকল্‌পোনা,চিন্তার অভাব,বি,,স. [সংস্কৃত],,,
242,,,২,,কুমতলব,,,,,,
243,,,২,,খারাপ চিন্তা,,,,,,
244,,অকল্পিত ,১,অকোল্‌পিতো,মনগড়া বা কল্পিত নয় এমন,বিণ,,স. [সংস্কৃত],,,
245,,,১,,অকৃত্রিম,,,,,,
246,,,১,,প্রকৃত,,,,,,
247,,,১,,বাস্তব,,,,,,
248,,,২,,কল্পনা করা যায়নি এমন,,,,,,
249,,অকল্পনীয়,১,অকল্‌পোনিয়ো,কল্পনা করা যায় না এমন,বিণ,,স. [সংস্কৃত],,,
250,,অকল্মষ,১,অকল্‌মশ্‌,নিষ্পাপ,বিণ,,স. [সংস্কৃত],,,
251,,অকল্যাণ,১,"অকোল্‌লান, অকোল্যান",অমঙ্গল,বি,,স. [সংস্কৃত],,,
252,,,১,,অশুভ,,,,,,
253,,,২,,অমঙ্গলজনক,বিণ,,,,অকল্যান এই সুর।,
254,,অকল্যাণকর,১,,অমঙ্গলজনক,বিণ,,স. [সংস্কৃত],,,
255,,,১,,অশুভকর,,,,,,
256,,,১,,ক্ষতিকর,,,,,,
257,,অকল্যাণকারিণী স্ত্রী *,,,,,,,,,
258,,অকষ্ট,১,অকশ্‌টো,কষ্টশূন্য,বিণ,,স. [সংস্কৃত],,,
259,,,১,,ক্লেশহীন,,,,,,
260,,অকষ্টকল্পনা,১,,অনায়াসসাধ্য বা স্বতঃস্ফূর্ত কল্পনা,বি,,স. [সংস্কৃত],,,
261,,অকষ্টকল্পিত,,,,বিণ,,,,,
262,,অকষ্টবদ্ধ,১,,অতি কষ্টে গ্রথিত,বিণ,,স. [সংস্কৃত],,সাধু বাংলার বাক্য গঠন পদ্ধতি অকষ্টবদ্ধ।,
263,,,২,,অত্যন্ত সংকটাপন্ন,,,,,,
264,,,২,,অধিক দুঃখে পতিত,,,,,,
265,,,৩,,উভয় সঙ্কট,বি,,,,,
266,,,৩,,অপ্রতিহার্য বিপদ,,,,,,
267,,অকসর,,,,,,,,,
268,,অকস্মাৎ,১,অকোশ্‌শাঁত্‌,হঠাৎ,ক্রিবিন,,স. [সংস্কৃত],,ছেড়েছি সব অকস্মাতের আশা।,
269,,,১,,সহসা,,,,,,
270,,,১,,অতর্কিতে,,,,,,
271,,,১,,অজানিতভাবে,,,,,,
272,,,২,,আকস্মিক প্রাপ্তি বা ঘটনা,বি,,,,,
273,,অকাজ,১,অকাজ্‌,বাজে বা অন্যায় কাজ,বি,,বা. [বাংলা],,সে হলো অকাজের কাজী।,
274,, অকাট ১,,,,,,,,,
275,,অকাট  ২,১,অকাট্‌,অখণ্ডনীয়,বিণ,,স. [সংস্কৃত],,অকাট সত্য।,
276,,অকাট্য,১,অকাট্‌টো,কাটা যায় না এমন,বিণ,,স. [সংস্কৃত],,অকাট্য বস্তু।,
277,,,২,,খণ্ডন করা যায় না এমন,,,,,অকাট্য যুক্তি।,
278,,,২,,অখণ্ডনীয়,,,,,,
279,,,২,,চূড়ান্ত,,,,,আপাতস্বাচ্ছন্দ্যও একটা অকাট্য পদ্ধতির অন্তর্ভুক্ত।,
280,,,২,,অপরিবর্তনীয়,,,,,,
281,,অকাঠা,১,অকাঠা,বাজে কাঠ,বি,,,,,
282,,অকাণ্ড,১,অকান্‌ডো,কাণ্ডহীন,বিণ,,স. [সংস্কৃত],,,
283,,,১,,গুঁড়ি নেই এমন,,,,,,
284,,,২,,কুকার্য,বি,,,,,
285,,,২,,অঘটনীয় ব্যাপার,,,,,,
286,,অকাণ্ডে,১,,অসময়ে,ক্রিবিন,,স. [সংস্কৃত],,,
287,,,১,,অকারণে,,,,,,
288,,,১,,হঠাৎ,,,,,,
289,,অকাতর,১,অকাতর্‌/অকাতোর্‌,কাহিল নয় এমন,বিণ,,স. [সংস্কৃত],,,
290,,,১,,অব্যাকুল,,,,,,
291,,,১,,খেদহীন,,,,,কোনো চিন্তা নাই বাছা হয়ে অকাতর।,
